Reference,Value,Datasheet,Footprint,Qty,DNP
"C1,C2,C5,C6,C7,C8,C9",1200u,~,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,7,
"C3,C10",0.1u,~,Capacitor_THT:C_Rect_L9.0mm_W3.2mm_P7.50mm_MKT,2,
"C4,C11,C15,C16",10u,~,Capacitor_THT:C_Rect_L9.0mm_W3.2mm_P7.50mm_MKT,4,
"C12,C13",1u,~,Capacitor_THT:C_Rect_L9.0mm_W3.2mm_P7.50mm_MKT,2,
C14,2.2u,~,Capacitor_THT:C_Rect_L9.0mm_W3.2mm_P7.50mm_MKT,1,
D1,GBU4067,http://www.vishay.com/docs/88656/gbu4a.pdf,Diode_THT:Diode_Bridge_Vishay_GBU,1,
"D2,D3,D4,D5",1N4002,http://www.vishay.com/docs/88503/1n4001.pdf,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,4,
D6,SB560,http://www.vishay.com/docs/88503/1n4001.pdf,Diode_THT:D_DO-201AD_P12.70mm_Horizontal,1,
IC3,LT3080IT#PBF,https://www.analog.com/LT3080/datasheet,LT3080:TO170P457X1022X2306-5P,1,
IC4,LT3015ET#PBF,http://www.linear.com/docs/39918,LT3015:TO170P457X1022X2306-5P,1,
"J1,J2",Conn_01x03_Socket,~,CTB0100_3_KiCad:CTB01003,2,
"R1,R4",240,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,
R2,1k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R3,820,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R7,500k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R8,12.1k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R9,37.4k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
T1,44308,,44308_KiCad:44308,1,
U1,LM317_TO-220,http://www.ti.com/lit/ds/symlink/lm317.pdf,Package_TO_SOT_THT:TO-220-3_Vertical,1,
U2,LM337_TO220,http://www.ti.com/lit/ds/symlink/lm337-n.pdf,Package_TO_SOT_THT:TO-220-3_Vertical,1,
